ID,Prompt,Background,Foreground,Music,Variable,Type,Space,Short Answer,Choice 1,Choice 2,Choice 3,Choice 4
FauxTrip1,"Smooth going so far as you leave the edges of the city.
1. Thank Eisenhower for the Interstate Highway System.
2. Curse Eisenhower for increasing federal spending via the Interstate Highway System.",mojave,bus,,,MC,,,FauxTrip2,FauxTrip2,,
FauxTrip2,Darnit Ike! There is a ten-mile traffic jam up ahead. Your journey will take 3 more days.,mojave,bus,,,TRIP,FauxTrip3,,,,,
FauxTrip3,You watch your life crawl by as your schoolbus crawls across the Mojave Desert.,mojave,bus,,,TRIP,FauxTrip4,,,,,
FauxTrip4,"This is so boring, Vritti would rather be at William Henry Harrison's inaugural address.",mojave,bus,,,TRIP,FauxTrip5,,,,,
FauxTrip5,"At last, you spot an exit that leads you north. Xing suggests, ""maybe it was better to go to Yosemite after all?""
1. Agree with Xing. After all, totalitarian leaders tend to gain power in times of popular discontent, and it's bad to be an enemy of the powerful.
2. No, endure the traffic just a little longer.",mojave,bus,,,MC,,,YosemiteTrip0,FauxTrip6,,
FauxTrip6,You bake in the Californian summer sun as you stand alone against going to Las Vegas.,mojave,bus,,,TRIP,FauxTrip7,,,,,
FauxTrip7,"Finally, after three more hours in traffic, you concede the debate. You take the next exit north. You're now on your way to Yosemite.",mojave,bus,,,TRIP,YosemiteTrip0,,,,,
YosemiteTrip0,You embark on your journey to Yosemite!,mojave,bus,,,TRIP,YosemiteTrip1,,,,,
YosemiteTrip1,"Heading north, you enter California's Central Valley.",centralValley,bus,,,TRIP,YosemiteTrip2,,,,,
YosemiteTrip2,You pass by vast stretches of farmland. Xing's started hallucinating Cesar Chavez protesting outside the window.,centralValley,chavez,,,TRIP,YosemiteTrip3,,,,,
YosemiteTrip3,You try Nathan's food but it tastes bad without cheese.,centralValley,bus,,,TRIP,YosemiteTrip4,,,,,
YosemiteTrip4,"Finally, after 5 hours, you arrive at Yosemite National Park.",yosemiteDay,,,,TRIP,Yosemite0,,Yosemite0,,,
,,,,,,,,,,,,
Yosemite0,"You see a trail towards the mountains, and some deer roaming around.
1. Start hiking up the trail
2. Chase the deers",yosemiteDay,,,,MC,,,Trail,Deer,,
Trail,"While hiking, you come across Yosemite Falls. It's very beautiful and you feel at peace. Is this what Thoreau felt like?",yosemiteEvening,,,,,YosemiteSleep,,,,,
Deer,You start chasing around the deers and find yourself at Yosemite Falls. It's very beautiful and you feel at peace. Is this what Thoreau felt like?,yosemiteEvening,,,,,YosemiteSleep,,,,,
YosemiteSleep,"You return to the campsite as the sun sets and you start a fire. You enjoy some canned refried beans, potatoes, and s'mores before you tuck in for the night.",yosemiteNight,,,,,Mountain0,,,,,
Mountain0,"The next day dawns with the summit of El Capitan gleaming in sunlight. You start for the mountain, this time determined to reach it.",yosemiteDay,,,,,Mountain1,,,,,
Mountain1,"Unfortunately, midway through your journey, Andre tripped on a pebble.
1. Leave Andre to the wolves.
2. Carry him back to the bus.",yosemiteDay,,,,MC,,,Guilt0,YosemiteEnd,,
Guilt0,"That was a joke, but as you trek closer to the mountain, you start having second thoughts.",yosemiteDay,,,,,Guilt1,,,,,
Guilt1,"Did you really value your own experience more than the safety of Andre? The guilt is piling up, becoming more than you could bear.",yosemiteDay,,,,,Guilt2,,,,,
Guilt2,You run back to where you abandoned Andre. He isn't there.,YosemiteEvening,,,,,Guilt3,,,,,
Guilt3,"Luckily, he just limped back to the bus.",YosemiteEvening,,,,,YosemiteEnd,,,,,
,,,,,,,,,,,,
YosemiteEnd,"Great. Now everyone's sick of Yosemite. Wanna go chill at Las Vegas?
1. Heck yeah!
2. What about someplace else?",yosemiteEvening,,,,MC,,,VegasTrip0,Hijack0,,
Hijack0,"Alright, we'll go to Not Las Vegas then.",mojave,bus,,,TRIP,Hijack1,,,,,
Hijack1,"Your supplies are slowly dwindling as you head towards Not Las Vegas, and so does Xing's sanity.",mojave,bus,,,TRIP,Hijack2,,,,,
Hijack2,"""You know how in old novels, fictional places often have blank names like L|           | instead of ones invented by the author? Yeah, Jane Eyre had a hint of Choose Your Own Adventure in it.""",mojave,bus,,,TRIP,Hijack3,,,,,
Hijack3,"As Xing rambles on, your attention drift from the road ahead.",mojave,bus,,,TRIP,Hijack4,,,,,
Hijack4,"Oh noes! Suddenly, your bus gets hijacked by AL CALZONE and his gang of mobsters! They force you to go to Vegas to launder their Prohibition money.",mojave,bus,,,TRIP,VegasTrip0,,,,,
VegasTrip0,"Alright, fine, you start your journey southeast.",mojave,bus,,,TRIP,VegasTrip1,,,,,
VegasTrip1,The shadows of low-hanging clouds dance atop the Sierra Nevada mountains as you drive between stretches of roads light and dark.,mojave,bus,,,TRIP,VegasTrip2,,,,,
VegasTrip2,"In two hours, you've crossed into Nevada. NEWSOM CAN'T STOP YOU NOW!!",mojave,bus,,,TRIP,VegasTrip3,,,,,
VegasTrip3,Vast stretches of wilderness are only scantily interrupted by small towns along the highway.,mojave,bus,,,TRIP,VegasTrip4,,,,,
VegasTrip4,"That is, until the Sun sets, and you start to make out a galaxy of lights that lay in the distance: The city that never sleeps.",mojave,bus,,,TRIP,VegasTrip5,,,,,
VegasTrip5,"At long last, a quarter to midnight, you arrive at Vegas. Though violet clouds cover up the sky, neon signs illuminate the night.",vegas,bus,,,,Vegas0,,,,,
,,,,,,,,,,,,
Vegas0,"Stepping out from the schoolbus, you've stepped onto the Las Vegas Strip. Aisles of bright buildings tower over your periphery. To your right, the Bellagio Hotel; To your left, a grand casino.",vegas,bus,,,,Vegas1,,,,,
Vegas1,"The hotel sounds like a reasonable option, but this casino promises to turn your money into far more wealth.
1. Unfortunately, you're too young to gamble away your fortunes. Just check into the hotel.
2. Fortunately, you can lie.",vegas,,,,MC,,,Vegas2,Casino0,,
Casino0,"You and Vritti boldly walk into the casino. To enter the main room, you have to go through a digital age verification.
1. This is too challenging. Just check into the hotel.
2. There's got to be a way to bypass this.",vegas,,,,MC,,,Vegas2,Casino1,,
Casino1,"Instead of using their Secure Age Verification Browser, you open their age verifier in a regular tab. Now, with the power of Inspect Element, you change your birthdays to July 14, 1789. You smirk at your genius.",,,,,,Casino2,,,,,
Casino2,"But too soon! You get caught by Security Officer Raul Fring. He shoves you out from the casino, back to the Strip.",,,,,,Casino3,,,,,
Casino3,"It's 1 am, and you can't think of any other pseudolegal activites to do, so you check into the Bellagio Hotel and try to sleep.",,,,,,Vegas3,,,,,
Vegas2,You check into the Bellagio Hotel and try to sleep.,,,,,,Vegas3,,,,,
Vegas3,"Try as hard as you can, but you can't sleep. The environment, the excitement of Vegas is simply too much to bear-- or is it just the hunger of not having eaten a proper dinner in days? Regardless, you abandon sleep for a buffet to fill your stomach.",,,,,,Vegas4,,,,,
Vegas4,[Insert food description here],,,,,,Vegas5,,,,,
Vegas5,"While eating, Andre's hands let slip a teapot and breaks it! An employee confronts him and he blames it on you. What will you do?
1. Run! Run while you can!!
2. Offer to pay the employee hush money.",,,,,,Vegas6,,Consequence,Consequence,,
Vegas6,"To no avail, you get caught by security and they kick you out. Your name will forever be attached to this teapot scandal.",,,,,,Vegas7,,,,,
Vegas7,"After getting kicked out of the buffet, you decide to buy tickets to a David Copperfield Magic Show. David Copperfied is very good at magic. You have fun.",,,,,,Vegas8,,,,,
Vegas8,It's been a long night. You return to the hotel and go to sleep at sunrise.,,,,,,Vegas9,,,,,
,,,,,,,,,,,,
Vegas9,"Waking at sunset, Andre suddenly remembers he has a family at Salt Lake City. Though the journey will take two days, it might be good to go there, in case his family forgets about him.",,,,,TRIP,UtahTrip0,,,,,
UtahTrip0,"So you get on the desert road again, driving under twilight towards the Utah border.",,bus,,,TRIP,UtahTrip1,,,,,
UtahTrip1,"There really is nothing to see in a desert at night. You rest til dawn, then start driving again.",,bus,,,TRIP,UtahTrip2,,,,,
UtahTrip2,"After six hundred miles, you finally reach the Great Salt Lake in the afternoon.",,bus,,,TRIP,Utah0,,,,,
,,,,,,,,,,,,
Utah0,"While the rest of the group rested in the bus, Andre went to a cousin's wedding that he had recently been last minute invited to.",,,,,,Utah1,,,,,
Utah1,"You couldn't sleep. This restless energy is impossible to contain. You wish senioritis could strike you early, but you feel the opposite of lethargy.
1. Follow Andre to the wedding.
2. Check if the Great Salt Lake is really salty.",,,,,MC,,,Wedding0,Salt0,,
Salt0,"You take a walk to the lake. Pelicans are resting by the banks. You wonder if they, too, enjoy high-sodium instant noodles...",,,,,,Salt1,,,,,
Salt1,"Tasting the extreme salinity of the water, you suddenly thought of something evil to do.
1. Do it. You are become God, destroyer of worlds.
2. Oh God please don't.",,,,,MC,,,Salt2,Salt3,,
Salt2,You run back to the bus. Everyone is still asleep. You take Vritti the _Vritti's water bottle and run it over with the lake's water.,,,,,,Salt3,,,,,
Salt3,"You walk back to the bus, as if not one deviant thought had ever came across your mind.",,,,,,Utah2,,,,,
Wedding0,Andre had fallen asleep during most of the wedding but he definently enjoyed the food. ,,,,,,Wedding1,,,,,
Wedding1, Andre was super embarrased for showing up without a suit but his cousin didn't mind and was happy for his attendence.,,,,,,Utah2,,,,,
Utah2,Andre returned later that night with loads of food he took. [Insert food description here],,,,,,UtahEnd,,,,,
,,,,,,,,,,,,
UtahEnd,Utah is so hot this time of year! Even the night is hard to bear. Some place up north might be better.,mojave,bus,,,TRIP,SeattleTrip0,,,,,
SeattleTrip0,You remember how Bezos is really rich and his company is somewhere north.,mojave,bus,,,TRIP,SeattleTrip1,,,,,
SeattleTrip1,"So you start for Seattle, Washington.",mojave,bus,,,TRIP,SeattleTrip2,,,,,
SeattleTrip2,"Driving northwest, you try to race the Sun.",mojave,bus,,,TRIP,SeattleTrip3,,,,,
SeattleTrip3,It was futile. The journey still took two days.,mojave,bus,,,TRIP,SeattleTrip4,,,,,
SeattleTrip4,"At Seattle, you park the bus underneath the Space Needle.",spaceneedle,bus,,,TRIP,Seattle0,,,,,
,,,,,,,,,,,,
Seattle0,Everyone decides they want to go to the top of the Space Needle. You pay the entrance fee and take the elevator to the top.,spaceneedle,,,,,Seattle1,,,,,
Seattle1,"You take in the view of the Seattle cityscape. You can see Mt. Whittier in the distance. It starts getting windy. Do you want to go down?
1. Yes
2. No",spaceneedle,,,,MC,,,Seattle2,Seattle3,,
Seattle2,You descend the Space Needle. It's lunch time and you're hungry. The Pike Place Market sounds like a good place to get food.,spaceneedle,,,,,Seattle4,,,,,
Seattle3,"You stay at the top of the Space Needle for a little longer, but it's lunch time and you start to get hungry, so you descend. The Pike Place Market sounds like a good place to get food.",spaceneedle,,,,,Seattle4,,,,,
Seattle4,"You arrive at Pike Place Market. You see some fish being thrown around, but the group eventually decides they want Thai food. You go to Jasmine Thai Restaurant and enjoy some authentic thai food.",market,,,,,Seattle5,,,,,
Seattle5,"Before you leave for the Midwest, Yingjia suggests stocking up some more supplies.
1. Go to some boring grocery store
2. Go to the Amazon grocery store",market,,jeffreybezos,,MC,Seattle6,,Seattle6,Seattle7,,
Seattle6,"Nobody else wants to go to a boring grocery store. You end up going to the Amazon grocery store anyways.
1. Fine",market,,,,MC,,,Seattle7,,,
Seattle7,"You arrive at the Amazon grocery store. As you walk in, you see Jeff Bezos! He greets you and offers to pay for all your food.",market,,,,,Seattle8,,,,,
Seattle8,"You're being endorsed by Jess Bezos! What do you want to buy?
1. A family box of chips: $15.00
2. A big bag of sour gummy worms: $12.00
3. A large pack of Coca-Cola: $10.00
4. 40oz Prime Wagyu Ribeye Steak: $235.00",market,,,,PURCHASE,Seattle9,,15,12,10,235
Seattle9,"After stocking up on food, it's time to go to Minnesota to see the Mall of America.",market,,,,,Mall0,,,,,
,,,,,,,,,,,,
Mall0,"You get to the Mall of America in Minnesota! What is the first thing you want to do? 
1. Go get Jojo Siwa Merch!! 
2. Go on fun rollercoasters ",mall,bus,,,MC,,,JojoSiwa,Rollercoaster,,
JojoSiwa,You go buy Jojo Siwa merchandise. Now everyone has their own sparkly bows. Very pretty.,jojo,,,,,,,,,,
Rollercoaster,"You go on one of the rollercoasters. It was fun, but after getting off rollercoaster, Xing throws up in a nearby trash can due to nausea. Guess you can't go on any more rides.",rollercoaster,,,,,,,,,,
,"Everyone else, on the other hand, is very hungry. Luckily, there's a lot of Nickolodeon-inspired food at the Nickelodeon Universe. You enjoy a burger and milkshake before returning to the schoolbus for your next stop.",,,,,,,,,,,
,,,,,,,,,,,,
Chicago,Chicago,,,,,,,,,,,
,"You finally arrive in Chicago! There's many things to do in Chicago, but perhaps you'd like something to eat first? And what else would you eat in Chicago than the famous Chicago-styled deep dish pizza?",,,,,,,,,,,
,"In your APUSH class, you vaguely remember Mr. Green mentioning a pizza place named Giordano's. You head there and once you settle into a table, the entire group orders a large deep dish pizza to share. It's quite different from the other pizzas you've tried, namely because you can't really see any cheese on the surface of the pizza. However, you are pleasantly surprised to taste the cheese at the bottom of the pie once you bite in.",,,,,,,,,,,
,"After finishing your meal, it's time to explore the streets of Chicago. Where would you like to go first?
1. Take a boat tour of the Chicago River
2. Visit the famous Cloud Gate (aka the Bean)
3. Go to Navy Pier",,,,,,,,ChicagoRiver,Bean,Navy,
ChicagoRiver,"You buy tickets for a tour of Chicago via a boat ride on the Chicago River. You get to see a lot of the Chicago skyline, such as the Aqua, Chase, and Trump Towers. Being on the boat is a thrilling experience, but after 90 minutes, your tour is over and it's time to head elsewhere. Where would you like to go next?
1. The Cloud Gate (aka the Bean)
2. Navy Pier
3. Back to the school bus",,,,,,,,Bean,Navy,Back,
Bean,"You decide to visit the Cloud Gate monument, or more commonly referred to, the Bean. It's very shiny, and in the reflection you can see the Chicago skyline, as well as much of the sky. After all, it was named ""the Cloud Gate"" because it reflected so much of the sky. But besides from taking pictures, there's not much else to do at the Bean. Where would you like to go to next?
1. Chicago River tour
2. Navy Pier
3. Back to the school bus",,,,,,,,ChicagoRiver,Navy,Back,
Navy,"You arrive at Navy Pier. It seems to be very lively, and in the distance, you can see a ferris wheel looming over the pier.  But before you go on it, there are some other things you want to check out, such as the various shops and even some of the other fun-looking rides. After buying some memorabilia and a few snacks, you finally start towards the ferris wheel with everyone else. You situate yourself in a cart, and the wheel starts moving. Soon enough, you're at the top, and you have a breathtaking view of the Navy Pier. Unfortunately, the ride is over soon after, and you've exhausted all your other options at Navy Pier. Where would you like to go to next?
1. Chicago River tour
2. The Cloud Gate (aka the Bean)
3. Back to the school bus",,,,,,,,ChicagoRiver,Bean,Back,
Back,"After a long day, you finally decide to go back to the bus to drive back to your hotel for the night--the luxurious Waldorf Astoria. The second you enter your room, you pass out on your bed, ready to get some sleep for the next day.",,,,,,,,,,,
,You awake the next day and start packing your belongings for your next destination--Niagra Falls.,,,,,,,,,,,
,,,,,,,,,,,,
Niagara,"After taking in the view at the top of Niagara Falls, what do you want to do?
1. Take a boat trip underneath the Falls
2. Explore the Cave of Winds",,,,,,,,UnderFalls,Cave,,
UnderFalls,"You decide that you aren't particularly a fan of caves--after all, who knows what kinds of creepy crawlies you could see in there? You opt for the boat trip underneath the falls instead. As you pass through the falls, the mist of the water serves as a reprieve from the scorching heat. You quite enjoyed the ride, and after you disembark from the boat ride, you notice it's quite late.",,,,,,,,,,,
Cave,"You decide that you want to visit the Cave of Winds. You're looking forward to seeing any cool critters or animals! Unfortunately, it wasn't quite what you expected and you weren't even in a cave for most of it--just on a catwalk near the falls. Either way, it was still a nice experience, even if your socks got wet. By the time you finish the tour, it's already quite late.",,,,,,,,,,,
,"You decide to look for a hotel, now that the sun is setting. Unlike the times of Brooker T. Washington, the U.S. side of the falls no longer have segregated hotels. What will you do?
1. Book a hotel on the American side
2. Move to Canada (for 1 night)",,,,,,,,AmericanSide,CanadianSide,,
AmericanSide,"You decide to book rooms at Seneca Niagra Resort! Maybe if Elizabeth Stanton was still alive today, she would've liked gambling at the casino. Unfortunately for you, you're underage and cannot gamble. Instead, you go to a restauraunt and enjoy a piping hot meal consisting of New York Strip Steak. Then, you return to your room to rest for the night.",,,,,,,,,,,
CanadianSide,"You decide to book rooms at the Woodbourne Inn, a restored 19th century house situated in Ontario, on the Canadian side of Niagara Falls. As the house transports you back into the 1800s, you're served a plate of poutine. You've never tried gravy on fries, but apparently it's a famous Canadian dish. To your surprise, it ends up being quite tasty and you enjoy your meal. Then, you return to your room to rest for the night.",,,,,,,,,,,
,,,,,,,,,,,,
,It's morning in Niagara Falls. Time for our next stop--Boston!,,,,,DEPART,,,,,,
,,,,,,,,,,,,
Boston,"Boston is a very noisy place. Fortunately for you, that also means there's a lot of things to do.",,,,,,,,,,,
,"You decide you want to recreate the Boston Tea Party! It was illegal in 1773, but if you buy your own tea, it should be fine, right? What kind of tea do you want to buy?
1. Gourmet tea imported from Britain: $10,000.00
2. Cheap Lipton ice tea from Quincy Market $1.00",,,,,PURCHASE,,,TeaParty,TeaParty,,
TeaParty,"You buy the tea before walking to Boston Harbor. At the edge of the dock, you pour your cup of the tea into the ocean. Take that Parliament! The Sons of Liberty would've been proud.",,,,,,,,,,,
,"After your little scheme at Boston Harbor, you hear the Boston Red Sox are having a game at Fenway Park! Usually, tickets would be impossible to get so late, but wow! Would you look at that? There are 5 free tickets on the ground. It's a miracle nobody else has picked them up yet. If you were a better person, maybe you'd try to find the rightful owners, but you know what they say: ""finders, keepers!"" You take your tickets and enjoy an exhilirating baseball match on the Red Sox home turf.",,,,,,,,,,,
,john f kennedy presidential museum,,,,,,,,,,,
,,,,,,,,,,,,
NY,You enter the city from the suburbs.,,,,,,,,,,,
,"You drive into New York City and try to look for a parking space. It's very crowded, but eventually, you manage to find a parking lot with a spot big enough for your schoolbus. The drive was pretty long, and everyone's hungry. What should we eat?
1. New York Style Pizza
2. Street Hot Dogs",,,,,,,,NYPizza,NYHotDog,,
NYPizza,"You've heard New York is very famous for their pizza. Apparently city water gives the pizza crust special characteristics? Nonetheless, you're eager to try.",,,,,,,,,,,
NYHotDog,"Are you kidding? You're in New York City and you want to eat hot dogs??? Everybody else wanted to try the pizza, and since the country runs on a democracy, it's too bad for you.",,,,,,,,,,,
,"After a fulfilling meal composed of pizza and a drink of your choice, it's time to go sightseeing! There are many historical monuments in the city of New York. Where do you want to go first?
1. Statue of Liberty
2. 9/11 Memorial and the One World Trade Center
3. Museum of Modern Art",,,,,,,,StatueOfLiberty,911,MoMA,
StatueOfLiberty,"You take a ferry to the Statue of Liberty. Arriving at the base of the statue, you realize that it's very large. A guide informs you that you'd have to trek up 162 stairs to make it to the top, but you're always up for a challenge, aren't you? Once you make it to the top, you're exhausted, but the view is breathtaking. Another guide tells you that the Statue of Liberty was a gift from the French during the Gilded Age. After enjoying the view for a little longer, Yingjia decides it's time to visit another location. Where would you like to go next?
1. 9/11 Memorial and the One World Trade Center
2. Museum of Modern Art
3. Back to the school bus",,,,,,,,911,MoMA,Back,
911,"You go to the 9/11 Memorial, where you can see two large, square-shaped holes in the ground--footprints of the Twin Towers that were destroyed in the 9/11 tragedy. You buy a bouquet of flowers and pay your respects to those killed in the attack. Then, you turn your attention to the One World Trade Center. It towers above the other buildings. In fact, it's the tallest building in the western hemisphere! After looking around a little more, Xing decides it's time to move on. Where would you like to go next?
1. Statue of Liberty
2. Museum of Modern Art
3. Back to the school bus",,,,,,,,StatueOfLiberty,MoMA,Back,
MoMA,"You arrive at the Museum of Modern Art and enter, but not before paying for your entrance tickets. As you walk around, you notice a lot of remarkable paintings. There's work from Salvador Dalí, Frida Kahlo, Pablo Picasso, Vincent Van Gough, and the sorts. You even stop in front of a painting of Marilyn Monroe by Andy Warhol and vaguely remember hearing the name 'Marilyn Monroe' in your APUSH class. Was she an actress? You look around for a little longer, before Vritti suggests it's time to leave for another location. Where would you like to go next?
1. Statue of Liberty
2. 9/11 Memorial and the One World Trade Center
3. Back to the school bus",,,,,,,,StatueOfLiberty,911,Back,
Back,"You're on your way back to the school when--oh no! Andre gets struck by a speeding taxi cab driver. You try to run after the driver to give them a piece of your mind, but you quickly lose them in the bustling traffic of New York City. You're angry, but Andre is in need of medical attention. You rush him to a hospital, and luckily, he's not seriously hurt, but it looks like your time in New York City will be cut short. That sucks--maybe next time you'll be able to enjoy a more thorough tour of the city that never sleeps.",,,,,,,,,,,
,"You settle into your seat on the school bus, and now it's time to go to Philadelphia!",,,,,DEPART,,,,,,
,,,,,,,,,,,,
,Philadelphia,,,,,,,,,,,
,"philly cheese steak, liberty bell, independence hall, reading terminal market, love sculpture. rocky statue",,,,,,,,,,,
,,,,,,,,,,,,
,Washington DC,,,,,,,,,,,
,"join protest at lafayette park, white house (joe biden!!!), lincoln memorial, washington memorial",,,,,,,,,,,
,dinner with joe biden and jill biden,,,,,,,,,,,
,,,,,,,,,,,,
,Orlando,,,,,,,,,,,
,"disneyworld, universal, kennedy space center",,,,,,,,,,,
,,,,,,,,,,,,
,END,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
